iso1,iso2,dist
DNK,SWE,30.59
DEU,DNK,63.00
DDR,DNK,45.34
DOM,HTI,14.32
DOM,JAM,29.15
DOM,PRI,6.32
DOM,VGB,14.42
DOM,VIR,12.00
DZA,MAR,33.53
DZA,MCO,35.51
DZA,MLI,14.87
DZA,TUN,15.03
ECU,PAN,31.24
ECU,PER,9.22
EGY,ERI,20.10
EGY,ETH,20.59
EGY,GRC,26.93
EGY,ISR,30.81
EGY,SDN,17.80
ERI,ETH,12.17
ERI,ISR,16.76
ESP,FRA,48.38
ESP,MAR,33.24
ESP,PRT,24.35
ESP,SEN,42.00
EST,FIN,15.81
EST,LTU,14.87
EST,LVA,6.40
EST,RUS,65.97
ETH,KEN,27.46
ETH,SDN,32.02
ETH,SOM,15.81
FIN,LVA,15.26
FIN,POL,36.69
FIN,SWE,41.59
FJI,NZL,64.78
FJI,TON,12.73
FJI,VUT,13.89
FJI,WSM,19.21
FRA,GBR,50.54
FRA,LUX,32.65
FRA,PRT,53.74
FRA,SAA,36.62
FSM,GUM,15.30
FSM,MHL,14.32
FSM,NRU,22.85
GAB,GNQ,6.32
GAB,STP,17.26
GBR,IRL,26.31
GBR,NLD,55.61
GBR,PRT,84.34
GEO,KAZ,48.75
GEO,MDA,30.81
GEO,RUS,53.76
GEO,UKR,17.49
GEO,UZB,33.00
GHA,LBR,20.02
GHA,STP,36.67
GHA,TGO,9.00
GIN,GNB,11.00
GIN,LBR,13.60
GIN,MLI,18.44
GIN,MRT,8.94
GIN,SEN,14.42
GIN,SLE,6.00
GMB,GNB,6.40
GMB,SEN,4.24
GNB,SEN,8.06
GNB,SLE,12.53
GNQ,NGA,19.21
GNQ,STP,15.30
GRC,ISR,35.69
GRC,LBY,46.10
GRC,MKD,16.28
GRC,MLT,46.87
GRC,SDN,36.22
GRD,TTO,9.06
GRD,VCT,8.25
GTM,MEX,40.61
GTM,SLV,13.45
GUM,JPN,72.17
GUM,KOR,88.32
GUM,MHL,29.00
GUM,NRU,33.94
GUM,PLW,29.21
GUM,TWN,68.45
GUY,PER,24.70
GUY,SUR,8.25
GUY,TTO,16.00
GUY,VEN,9.85
HKG,KHM,30.81
HKG,KOR,75.00
HKG,PHL,34.83
HKG,TWN,23.09
HKG,VNM,21.00
HND,NIC,12.81
HND,SLV,5.10
HRV,HUN,35.51
HRV,SMR,30.41
HRV,SRB,22.56
HRV,SVN,13.42
HTI,JAM,19.10
HTI,LCA,31.02
HTI,VCT,30.53
HTI,VIR,22.20
HUN,ROU,33.24
HUN,SRB,35.13
HUN,SVK,29.15
IDN,MUS,154.43
IDN,MYS,34.99
IDN,SGP,24.41
IDN,TLS,44.01
IND,LKA,37.05
IND,NPL,8.60
IND,OMN,42.20
IND,PAK,18.38
IRL,ISL,76.01
IRL,NLD,76.16
IRL,PRT,87.69
IRN,OMN,17.26
IRN,PAK,31.58
IRN,TUR,27.78
IRQ,KWT,4.24
IRQ,SYR,9.00
IRQ,TUR,17.12
ISL,NLD,116.09
ISL,NFL,119.55
ISR,MKD,39.41
ISR,PSX,11.40
ISR,YEM,21.10
ITA,LIE,40.26
ITA,MCO,29.83
ITA,MLT,41.77
ITA,SMR,12.73
ITA,TUN,45.62
JAM,NIC,27.66
JAM,PAN,30.27
JOR,LBN,12.17
JOR,PSX,5.00
JOR,SAU,18.68
JOR,YEM,11.40
JPN,KIR,105.12
JPN,KOR,50.16
